order_number,order_date,item_name,quantity,product_price,total_products
12240,30/11/2018 18:03,Mango Chutney,4,0.5,15
12240,30/11/2018 18:03,Onion Chutney,2,0.5,15
12240,30/11/2018 18:03,Mint Sauce,2,0.5,15
12238,30/11/2018 17:19,Mint Sauce,1,0.5,10
12238,30/11/2018 17:19,Mango Chutney,1,0.5,10
12225,28/11/2018 20:11,Mango Chutney,1,0.5,5
12223,28/11/2018 19:36,Mint Sauce,1,0.5,6
12196,25/11/2018 18:37,Mint Sauce,1,0.5,8
12196,25/11/2018 18:37,Onion Chutney,1,0.5,8
12194,25/11/2018 18:12,Mint Sauce,1,0.5,11
12178,24/11/2018 18:29,Onion Chutney,1,0.5,9
12173,24/11/2018 18:11,Mint Sauce,1,0.5,5
12169,24/11/2018 17:13,Mint Sauce,1,0.5,8
12149,23/11/2018 17:39,Mango Chutney,1,0.5,5
12140,21/11/2018 21:22,Mango Chutney,2,0.5,6
12125,20/11/2018 18:39,Mango Chutney,2,0.5,9
12117,19/11/2018 18:04,Mango Chutney,2,0.5,8
12117,19/11/2018 18:04,Onion Chutney,1,0.5,8
12108,18/11/2018 18:05,Mango Chutney,1,0.5,9
12108,18/11/2018 18:05,Mint Sauce,1,0.5,9
12106,18/11/2018 17:50,Onion Chutney,1,0.5,7
12106,18/11/2018 17:50,Mango Chutney,1,0.5,7
12105,18/11/2018 17:32,Mango Chutney,1,0.5,6
12098,17/11/2018 20:32,Mint Sauce,1,0.5,3
12094,17/11/2018 19:32,Mango Chutney,1,0.5,5
12092,17/11/2018 19:28,Lime Pickle,1,0.5,8
12091,17/11/2018 19:07,Mint Sauce,1,0.5,10
12088,17/11/2018 18:40,Onion Chutney,1,0.5,8
12077,17/11/2018 14:06,Red Sauce,3,0.5,4
12069,16/11/2018 20:10,Mango Chutney,2,0.5,13
12068,16/11/2018 19:56,Mint Sauce,1,0.5,7
12068,16/11/2018 19:56,Red Sauce,1,0.5,7
12067,16/11/2018 19:46,Red Sauce,1,0.5,14
12060,16/11/2018 18:41,Mango Chutney,1,0.5,6
12053,16/11/2018 17:50,Mint Sauce,1,0.5,8
12038,15/11/2018 18:31,Onion Chutney,1,0.5,10
12036,15/11/2018 15:57,Mint Sauce,1,0.5,8
12012,12/11/2018 19:16,Mango Chutney,1,0.5,7
12011,12/11/2018 18:27,Red Sauce,1,0.5,9
12011,12/11/2018 18:27,Mint Sauce,1,0.5,9
12009,12/11/2018 17:56,Mango Chutney,1,0.5,11
12006,12/11/2018 17:37,Onion Chutney,1,0.5,5
11996,11/11/2018 18:30,Mango Chutney,2,0.5,9
11996,11/11/2018 18:30,Red Sauce,1,0.5,9
11994,11/11/2018 17:30,Mango Chutney,1,0.5,5
11980,10/11/2018 19:12,Mango Chutney,1,0.5,4
11977,10/11/2018 18:54,Mango Chutney,1,0.5,8
11976,10/11/2018 18:51,Onion Chutney,1,0.5,6
11976,10/11/2018 18:51,Red Sauce,1,0.5,6
11975,10/11/2018 18:50,Mango Chutney,1,0.5,7
11971,10/11/2018 18:37,Mint Sauce,1,0.5,14
11971,10/11/2018 18:37,Mango Chutney,1,0.5,14
11971,10/11/2018 18:37,Red Sauce,1,0.5,14
11970,10/11/2018 18:30,Mango Chutney,1,0.5,10
11970,10/11/2018 18:30,Mint Sauce,1,0.5,10
11949,09/11/2018 18:56,Mint Sauce,1,0.5,10
11944,09/11/2018 18:17,Mint Sauce,1,0.5,9
11942,09/11/2018 17:22,Mango Chutney,1,0.5,10
11942,09/11/2018 17:22,Onion Chutney,1,0.5,10
11936,08/11/2018 18:02,Red Sauce,1,0.5,10
11914,07/11/2018 16:35,Mango Chutney,2,0.5,19
11914,07/11/2018 16:35,Mint Sauce,1,0.5,19
11914,07/11/2018 16:35,Red Sauce,1,0.5,19
11911,07/11/2018 12:11,Mango Chutney,1,0.5,9
11898,05/11/2018 19:17,Mango Chutney,2,0.5,7
11890,04/11/2018 19:25,Mint Sauce,1,0.5,9
11864,03/11/2018 18:09,Mango Chutney,2,0.5,11
11864,03/11/2018 18:09,Onion Chutney,2,0.5,11
11846,02/11/2018 19:39,Mango Chutney,1,0.5,8
11843,02/11/2018 19:22,Mango Chutney,1,0.5,8
